component_type,vendor,category,model,capacity_gb,vram_gb,source_count,sources,min_price_eur,median_price_eur,max_price_eur,latest_observed_at
cpu,intel,Core i3,Intel Procesador Core i3-6100 de doble núcleo de 3.70 GHz con caché 3M (BX80662I36100) (reacondicionado certificado),,,1,Amazon España,100,100,100,2026-08-15
cpu,intel,Core i3,Intel Core i3 - Procesador,,,1,Amazon España,63,63,63,2026-08-15
cpu,intel,Core i3,Intel CPU BX8070110100F Core i3-10100F / 3.6GHz / 6MB LGA1200 4C / 8T,,,1,Amazon España,102,102,102,2026-08-15
cpu,intel,Core i3,"Intel Core i3-13100 - Procesador de Escritorio de 4 núcleos (4 núcleos P + 0 núcleos E) caché de 12 MB, hasta 4,5 GHz",,,1,Amazon España,258,258,258,2026-08-15
cpu,intel,Core i3,"Intel Core i3-13100F - Procesador de Escritorio (4 núcleos P + 0 núcleos electrónicos), caché de 12 MB, hasta 4,5 GHz",,,1,Amazon España,141,141,141,2026-08-15
cpu,intel,Core i3,"Intel Cpu Core i3-12100, tray",,,1,Amazon España,162,162,162,2026-08-15
cpu,intel,Core i3,Intel Core i3-14100 3.5/4.7GHz Box,,,1,Amazon España,171,171,171,2026-08-15
cpu,intel,Core i3,"Intel Procesador de Escritorio Core i3-10100 4 núcleos de hasta 4,3 GHz LGA1200 (chipset Intel 400) 65W, número de Modelo: BX8070110100",,,1,Amazon España,177,177,177,2026-08-15
cpu,intel,Core i3,Intel Core i3 540 - Procesador,,,1,Amazon España,27,27,27,2026-08-15
cpu,intel,Core i3,"Procesador Intel Core i3-9100 3, 6 GHz (Coffee Lake) Sockel 1151, Boxed",,,1,Amazon España,108,108,108,2026-08-15
cpu,intel,Core i3,"Intel Core i3-12100, procesador para Equipos de sobremesa, 12 MB de caché, hasta 4,30 GHz",,,1,Amazon España,169,169,169,2026-08-15
cpu,intel,Core i3,"Intel Core i3-2100 - Procesador (Socket 1155, 3100 MHz, Intel Core i3, i3-2100, 5 GT/s, 64-bit)",,,1,Amazon España,207,207,207,2026-08-15
cpu,intel,Core i3,Procesador Intel Core generación 8 Intel Core i3-8300,,,1,Amazon España,183,183,183,2026-08-15
ram,memory,DDR4,"Intel® Core™ i5-12400F, procesador para Equipos de sobremesa de 12a generación; Frecuencia Base 2.5 GHz, 6 núcleos, LGA1700, RAM DDR4 y hasta 128 GB DDR5",128,,1,Amazon España,156,156,156,2026-08-15
cpu,intel,Core i3,INTEL Core i3-10105F 3.7GHz LGA1200 - Caja,,,1,Amazon España,91,91,91,2026-08-15
cpu,intel,Core i3,Intel Core i3-10105,,,1,Amazon España,120,120,120,2026-08-15
cpu,intel,Core i3,"Intel Core i3 i3-14100 - 3,5 GHz - 4 core - 8 subprocesos",,,1,Amazon España,171,171,171,2026-08-15
cpu,intel,Core i3,"Intel Core i3-9100 - Procesador (Intel Core i3-9xxx, 3,6 GHz, LGA 1151 (Zócalo H4), PC, 14 NM, 8 GT/s)",,,1,Amazon España,215,215,215,2026-08-15
cpu,intel,Core i3,"Intel Procesador CPU Core I3-4160T 3,10Ghz SR1PH LGA1150 3MB 5GT/s",,,1,Amazon España,59,59,59,2026-08-15
cpu,intel,Core i3,"Intel Core i3 3240 - Procesador Dual-Core (3,4 GHz, SK 1155, caché 3 MB, 55 W)",,,1,Amazon España,262,262,262,2026-08-15
cpu,intel,Core i5,"1-48 of 453 results for""procesador Intel Core i5""",,,1,Amazon España,166,166,166,2026-08-15
cpu,intel,Core i5,"Amazon's Choice for ""procesador Intel Core i5""",,,1,Amazon España,208,208,208,2026-08-15
cpu,intel,Core i9,"Intel Core i9-14900K 3.2/6GHz Box, El embalaje puede variar",,,1,Amazon España,432,432,432,2026-08-15
cpu,intel,Core i9,Intel Core i9-14900KF 3.2/6GHz Box,,,1,Amazon España,440,440,440,2026-08-15
cpu,intel,Core i9,"Intel BX80684I99900K - CPU INTEL Core I9-9900K 3.60GHZ 16M LGA1151 BX80684I99900K 985966, Gris",,,1,Amazon España,462,462,462,2026-08-15
cpu,intel,Core i9,"Intel Core i9-7900X - Procesador (Intel® Core™ Serie X, 3,3 GHz, LGA 2066, PC, 14 NM, i9-7900X)",,,1,Amazon España,467,467,467,2026-08-15
cpu,intel,Core i9,"Intel Core I9-9900X - Procesador CPU (3.50 GHz, 19.25M, LGA2066) Color Gris",,,1,Amazon España,218,218,218,2026-08-15
cpu,intel,Core i9,Procesador Intel Core i9-7900X X-series,,,1,Amazon España,377,377,377,2026-08-15
cpu,intel,Core i9,Intel S1700 Core i9 13900KF TRAY GEN13,,,1,Amazon España,453,453,453,2026-08-15
cpu,intel,Core i9,"Intel Core i9-9820X - Procesador (9th gen Intel® Core™ i9, 3,3 GHz, LGA 2066, PC, 14 nm, i9-9820X)",,,1,Amazon España,338,338,338,2026-08-15
